Fact,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6
Log,Location.gps,,,,,
ScoreBerthingRisk,Location.gps,,,,,
ScoreHazardousTransport,Location.gps,,,,,
Ro,Location.gps,,,,,
Heading,Location.gps,Fleet.vessel,,,,
Velocity,Location.gps,Fleet.vessel,,,,
Acceleration,Location.gps,Fleet.vessel,,,,
Jerk,Location.gps,Fleet.vessel,,,,
AngularVelocity,Location.gps,Fleet.vessel,,,,
AngularAcceleration,Location.gps,Fleet.vessel,,,,
Yaw,Location.gps,Fleet.vessel,,,,
Pitch,Location.gps,Fleet.vessel,,,,
Roll,Location.gps,Fleet.vessel,,,,
RelativeVelocity,Location.gps,Fleet.vessel,,,,
RelativeHeading,Location.gps,Fleet.vessel,,,,
RelativePhase,Location.gps,Fleet.vessel,,,,
Dcpa,Location.gps,Fleet.vessel,,,,
Tcpa,Location.gps,Fleet.vessel,,,,
Vcro,Location.gps,Fleet.vessel,,,,
Heave,Location.gps,Fleet.vessel,,,,
VerticalMotion,Location.gps,Fleet.vessel,,,,
VerticalAcceleration,Location.gps,Fleet.vessel,,,,
Displacement,Location.gps,Fleet.vessel,,,,
Draft,Location.gps,Fleet.vessel,,,,
SubmergedVolume,Location.gps,Fleet.vessel,,,,
Weight,Location.gps,Fleet.vessel,,,,
Payload,Location.gps,Fleet.vessel,,,,
Passengers,Location.gps,Fleet.vessel,,,,
Crew,Location.gps,Fleet.vessel,,,,
Colreg_R01,Location.gps,Fleet.vessel,,,,
Colreg_R02,Location.gps,Fleet.vessel,,,,
Colreg_R03,Location.gps,Fleet.vessel,,,,
Colreg_R04,Location.gps,Fleet.vessel,,,,
Colreg_R05,Location.gps,Fleet.vessel,,,,
Colreg_R06,Location.gps,Fleet.vessel,,,,
Colreg_R07,Location.gps,Fleet.vessel,,,,
Colreg_R08,Location.gps,Fleet.vessel,,,,
Colreg_R09,Location.gps,Fleet.vessel,,,,
Colreg_R10,Location.gps,Fleet.vessel,,,,
Colreg_R11,Location.gps,Fleet.vessel,,,,
Colreg_R12,Location.gps,Fleet.vessel,,,,
Colreg_R13,Location.gps,Fleet.vessel,,,,
Colreg_R14,Location.gps,Fleet.vessel,,,,
Colreg_R15,Location.gps,Fleet.vessel,,,,
Colreg_R16,Location.gps,Fleet.vessel,,,,
Colreg_R17,Location.gps,Fleet.vessel,,,,
Colreg_R18,Location.gps,Fleet.vessel,,,,
Colreg_R19,Location.gps,Fleet.vessel,,,,
Colreg_R20,Location.gps,Fleet.vessel,,,,
Colreg_R21,Location.gps,Fleet.vessel,,,,
Colreg_R22,Location.gps,Fleet.vessel,,,,
Colreg_R23,Location.gps,Fleet.vessel,,,,
Colreg_R24,Location.gps,Fleet.vessel,,,,
Colreg_R25,Location.gps,Fleet.vessel,,,,
Colreg_R26,Location.gps,Fleet.vessel,,,,
Colreg_R27,Location.gps,Fleet.vessel,,,,
Colreg_R28,Location.gps,Fleet.vessel,,,,
Colreg_R29,Location.gps,Fleet.vessel,,,,
Colreg_R30,Location.gps,Fleet.vessel,,,,
Colreg_R31,Location.gps,Fleet.vessel,,,,
Colreg_R32,Location.gps,Fleet.vessel,,,,
Colreg_R33,Location.gps,Fleet.vessel,,,,
Colreg_R34,Location.gps,Fleet.vessel,,,,
Colreg_R35,Location.gps,Fleet.vessel,,,,
Colreg_R36,Location.gps,Fleet.vessel,,,,
Colreg_R37,Location.gps,Fleet.vessel,,,,
Colreg_R38,Location.gps,Fleet.vessel,,,,
Colreg_R39,Location.gps,Fleet.vessel,,,,
Colreg_R40,Location.gps,Fleet.vessel,,,,
Colreg_R41,Location.gps,Fleet.vessel,,,,
Solas_C01,Location.gps,Fleet.vessel,,,,
Solas_C02,Location.gps,Fleet.vessel,,,,
Solas_C03,Location.gps,Fleet.vessel,,,,
Solas_C04,Location.gps,Fleet.vessel,,,,
Solas_C05,Location.gps,Fleet.vessel,,,,
Solas_C06,Location.gps,Fleet.vessel,,,,
Solas_C07,Location.gps,Fleet.vessel,,,,
Solas_C08,Location.gps,Fleet.vessel,,,,
Solas_C09,Location.gps,Fleet.vessel,,,,
Solas_C10,Location.gps,Fleet.vessel,,,,
Solas_C11,Location.gps,Fleet.vessel,,,,
Solas_C12,Location.gps,Fleet.vessel,,,,
Solas_C13,Location.gps,Fleet.vessel,,,,
Solas_C14,Location.gps,Fleet.vessel,,,,
Solas_C15,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Misc,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Plan,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Comfort,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Grounding,Location.gps,Fleet.vessel,,,,
Crs_Highsea_DayTime,Location.gps,Fleet.vessel,,,,
Crs_Highsea_NightTime,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Headon,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Berthing,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Overtaking,Location.gps,Fleet.vessel,,,,
Crs_Highsea_GiveWay,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Speed,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Signal,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Discipline,Location.gps,Fleet.vessel,,,,
Crs_Highsea_Collision,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Misc,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Plan,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Comfort,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Grounding,Location.gps,Fleet.vessel,,,,
Crs_Coastal_DayTime,Location.gps,Fleet.vessel,,,,
Crs_Coastal_NightTime,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Headon,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Berthing,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Overtaking,Location.gps,Fleet.vessel,,,,
Crs_Coastal_GiveWay,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Speed,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Signal,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Discipline,Location.gps,Fleet.vessel,,,,
Crs_Coastal_Collision,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Misc,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Plan,Location.gps,Fleet.vessel,,,,
