Category,Name,Type,Description,Display Name,Unit
Log,CaseId,int,Scenario Key, Scenario hash key,
Log,ReportTime,double,Report time, Time,
Log,CallerId,int,Vessel IMO,Vessel IMO,
Log,TxnType,int,Transaction type,Transaction Type,
Log,Flags,int,Flags,Flags,
Ro,CaseId,int,Scenario Key, Scenario hash key,
Ro,Crs,string,Crs,Crs,
Ro,ReportTime,double,Report time, Time,
Ro,VesselId,int,Vessel IMO,Vessel IMO,
Ro,Penalty,float,Penalty Score,Penalty Score,
Heading,CaseId,int,Scenario Key, Scenario hash key,
Heading,Value,double,Heading,Heading,m/s
Heading,Unit,int,Unit of Measurement,Unit of Measurement,m/s
Heading,StartTime,double,Reading start time,Reading start time,time 
Heading,EndTime,double,Reading end time,Reading end time,time 
Heading,ReportTime,double,Reading report time,Reading report time,time 
Heading,ErrorPct,double,Systemic Error,Systemic Error,%
Heading,Sigma,double,Variance of the measurements,Variance of the measurements,
Heading,MinVal,double,Minimum value,Minimum value,%
Heading,MaxVal,double,Maximum value,Maximum value,%
Heading,NumVal,int,Number of readings made,Number of readings made,
Heading,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Heading,Checksum,int,Record checksum,Record checksum,
Heading,Tag,string,Notes,Notes,
Velocity,CaseId,int,Scenario Key, Scenario hash key,
Velocity,Value,double,Velocity,Velocity,m/s
Velocity,Unit,int,Unit of Measurement,Unit of Measurement,m/s
Velocity,StartTime,double,Reading start time,Reading start time,time 
Velocity,EndTime,double,Reading end time,Reading end time,time 
Velocity,ReportTime,double,Reading report time,Reading report time,time 
Velocity,ErrorPct,double,Systemic Error,Systemic Error,%
Velocity,Sigma,double,Variance of the measurements,Variance of the measurements,
Velocity,MinVal,double,Minimum value,Minimum value,%
Velocity,MaxVal,double,Maximum value,Maximum value,%
Velocity,NumVal,int,Number of readings made,Number of readings made,
Velocity,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Velocity,Checksum,int,Record checksum,Record checksum,
Velocity,Tag,string,Notes,Notes,
Acceleration,CaseId,int,Scenario Key, Scenario hash key,
Acceleration,Value,double,Velocity,Velocity,m/s²
Acceleration,Unit,int,Unit of Measurement,Unit of Measurement,m/s²
Acceleration,StartTime,double,Reading start time,Reading start time,time 
Acceleration,EndTime,double,Reading end time,Reading end time,time 
Acceleration,ReportTime,double,Reading report time,Reading report time,time 
Acceleration,ErrorPct,double,Systemic Error,Systemic Error,%
Acceleration,Sigma,double,Variance of the measurements,Variance of the measurements,
Acceleration,MinVal,double,Minimum value,Minimum value,%
Acceleration,MaxVal,double,Maximum value,Maximum value,%
Acceleration,NumVal,int,Number of readings made,Number of readings made,
Acceleration,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Acceleration,Checksum,int,Record checksum,Record checksum,
Acceleration,Tag,string,Notes,Notes,
Jerk,CaseId,int,Scenario Key, Scenario hash key,
Jerk,Value,double,Velocity,Velocity,m/s
Jerk,Unit,int,Unit of Measurement,Unit of Measurement,m/s
Jerk,StartTime,double,Reading start time,Reading start time,time 
Jerk,EndTime,double,Reading end time,Reading end time,time 
Jerk,ReportTime,double,Reading report time,Reading report time,time 
Jerk,ErrorPct,double,Systemic Error,Systemic Error,%
Jerk,Sigma,double,Variance of the measurements,Variance of the measurements,
Jerk,MinVal,double,Minimum value,Minimum value,%
Jerk,MaxVal,double,Maximum value,Maximum value,%
Jerk,NumVal,int,Number of readings made,Number of readings made,
Jerk,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Jerk,Checksum,int,Record checksum,Record checksum,
Jerk,Tag,string,Notes,Notes,
AngularVelocity,CaseId,int,Scenario Key, Scenario hash key,
AngularVelocity,Value,double,Velocity,Velocity,m/s
AngularVelocity,Unit,int,Unit of Measurement,Unit of Measurement,m/s
AngularVelocity,StartTime,double,Reading start time,Reading start time,time 
AngularVelocity,EndTime,double,Reading end time,Reading end time,time 
AngularVelocity,ReportTime,double,Reading report time,Reading report time,time 
AngularVelocity,ErrorPct,double,Systemic Error,Systemic Error,%
AngularVelocity,Sigma,double,Variance of the measurements,Variance of the measurements,
AngularVelocity,MinVal,double,Minimum value,Minimum value,%
AngularVelocity,MaxVal,double,Maximum value,Maximum value,%
AngularVelocity,NumVal,int,Number of readings made,Number of readings made,
AngularVelocity,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
AngularVelocity,Checksum,int,Record checksum,Record checksum,
AngularVelocity,Tag,string,Notes,Notes,
AngularAcceleration,CaseId,int,Scenario Key, Scenario hash key,
AngularAcceleration,Value,double,Velocity,Velocity,m/s²
AngularAcceleration,Unit,int,Unit of Measurement,Unit of Measurement,m/s²
AngularAcceleration,StartTime,double,Reading start time,Reading start time,time 
AngularAcceleration,EndTime,double,Reading end time,Reading end time,time 
AngularAcceleration,ReportTime,double,Reading report time,Reading report time,time 
AngularAcceleration,ErrorPct,double,Systemic Error,Systemic Error,%
AngularAcceleration,Sigma,double,Variance of the measurements,Variance of the measurements,
AngularAcceleration,MinVal,double,Minimum value,Minimum value,%
AngularAcceleration,MaxVal,double,Maximum value,Maximum value,%
AngularAcceleration,NumVal,int,Number of readings made,Number of readings made,
AngularAcceleration,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
AngularAcceleration,Checksum,int,Record checksum,Record checksum,
AngularAcceleration,Tag,string,Notes,Notes,
Yaw,CaseId,int,Scenario Key, Scenario hash key,
Yaw,Value,double,Yaw,Yaw,degrees
Yaw,Unit,int,Unit of Measurement,Unit of Measurement,degrees
Yaw,StartTime,double,Reading start time,Reading start time,time 
Yaw,EndTime,double,Reading end time,Reading end time,time 
Yaw,ReportTime,double,Reading report time,Reading report time,time 
Yaw,ErrorPct,double,Systemic Error,Systemic Error,%
Yaw,Sigma,double,Variance of the measurements,Variance of the measurements,
Yaw,MinVal,double,Minimum value,Minimum value,%
Yaw,MaxVal,double,Maximum value,Maximum value,%
Yaw,NumVal,int,Number of readings made,Number of readings made,
Yaw,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Yaw,Checksum,int,Record checksum,Record checksum,
Yaw,Tag,string,Notes,Notes,
Pitch,CaseId,int,Scenario Key, Scenario hash key,
Pitch,Value,double,Pitch,Pitch,degrees
